cohort,score,age,spend,converted
A,10.2,22,5.0,0
A,9.8,25,6.5,0
A,10.5,31,4.0,0
A,,28,7.0,0
A,9.6,24,5.5,0
A,10.1,35,6.0,0
B,20.4,41,18.0,1
B,19.8,38,21.0,1
B,20.9,45,17.5,1
B,20.1,29,,1
B,,33,19.0,1
B,19.5,52,22.0,1
C,30.7,48,31.0,1
C,29.9,55,28.5,1
C,30.2,37,33.0,1
C,31.1,44,,1
C,30.5,61,29.0,1
C,,39,32.5,1
A,9.9,27,5.2,0
A,10.3,30,6.8,0
B,20.0,36,20.5,1
B,19.7,42,18.5,1
C,30.0,50,30.5,1
C,29.6,46,27.0,1
A,10.0,23,4.8,0
A,9.7,26,7.2,0
B,20.6,40,19.5,1
C,30.9,53,34.0,1
A,10.4,33,5.9,0
B,19.9,35,21.5,1
